categoria,perfil,quantidade,comprimento_total_m,massa_total_kg
TIRANTE_D_VAO_02_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_03_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_03_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_D_VAO_03_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_04_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_D_VAO_04_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_D_VAO_04_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_01_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_01_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_E_VAO_01_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_02_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_02_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_E_VAO_02_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_03_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_03_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_E_VAO_03_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_04_00,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_E_VAO_04_01,Tirantes / maos-francesas,barra-16,1674.9,2.64
TIRANTE_E_VAO_04_02,Tirantes / maos-francesas,barra-16,1675.0,2.64
TIRANTE_PAREDE_D_01_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_01_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_02_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_02_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_03_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_03_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_04_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_D_04_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_01_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_01_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_02_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_02_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_03_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_03_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_04_01,Tirantes / maos-francesas,barra-16,5970.0,9.42
TIRANTE_PAREDE_E_04_02,Tirantes / maos-francesas,barra-16,5970.0,9.42
VAO_01_CUMEEIRA,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_01_ESCORA_BEIRAL_D,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_01_ESCORA_BEIRAL_E,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_02_CUMEEIRA,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_02_ESCORA_BEIRAL_D,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_02_ESCORA_BEIRAL_E,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_03_CUMEEIRA,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_03_ESCORA_BEIRAL_D,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_03_ESCORA_BEIRAL_E,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_04_CUMEEIRA,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_04_ESCORA_BEIRAL_D,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VAO_04_ESCORA_BEIRAL_E,Escoras de beiral / cumeeira,HEA160,5000.0,144.6
VERGA_PORTA_E,Vergas,UPE100,900.0,8.53
