categoria,perfil,quantidade,comprimento_total_m,massa_kg
CONEX_JOELHO_04_D_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_04_D_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_04_E_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_04_E_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_04_E_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_04_E_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_04_E_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_04_E_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_04_E_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_04_E_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_05_D_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_05_D_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_05_D_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_05_D_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_05_D_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_05_D_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_05_D_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_05_D_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_05_E_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_05_E_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_05_E_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_05_E_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_05_E_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_05_E_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_05_E_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_05_E_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONTRAV_COBERTURA_01_A,Contraventamento,barra-20,11180.3,27.57
